Package ID,Brand,Product,Batch,Strain,Distribution Chain,Date.of.Harvest,Date.of.Manufacture,Cultivated By,Laboratory.Testing.Results,Point of Intended Sale,Extraction Method
609891000000,Roaring 20s,Roaring 20s REST 6 Pack Prerolls 3g - Strawberry Cooler,266-221026.0001,Strawberry Cooler,"Forever 46, LLC - 00000057DCHF00477864",10/26/2022,NA,"Forever 46, LLC - 00000057DCHF00477864",https://lims.tagleaf.com/coas/7ZXVUl8BgstJQIByCGJD0sS7arez8BCRB1bESWkA6cf7KilPJI,https://ilava.com/point-of-intended-sale/,https://ilava.com/extraction-methods/
44825,High Scorez,High Scorez Sauce Infused Preroll 1.2g - Cali-O-Socks x Zack's Cake,COSo-230502.01-W18-IPR,Cali-O-Socks x Zack's Cake,"Forever 46, LLC - 00000057DCHF00477864",5/2/23,7/10/2023,"Forever 46, LLC - 00000057DCHF00477864",https://lims.tagleaf.com/coas/ALr1aaycxKetY1hyU7C7Mx7zcJd26HnUScHCj5bTv6YUnCXef9,https://ilava.com/point-of-intended-sale/,https://ilava.com/extraction-methods/
44603,DTF - Downtown Flower,DTF Premium Preroll 1g - Fatso,224-230502.0001-W18,Fatso,"Forever 46, LLC - 00000057DCHF00477864",5/2/2023,NA,"Forever 46, LLC - 00000057DCHF00477864",https://lims.tagleaf.com/coas/BL0wdEeim47Vh0hZ3Kk0WUL8Fa0guHtI5UghwuFCZjRmN04zHN,https://ilava.com/point-of-intended-sale/,https://ilava.com/extraction-methods/
43273,DTF - Downtown Flower,DTF Premium Preroll 1g - Fatso,224-230502.0001-W18,Fatso,"Forever 46, LLC - 00000057DCHF00477864",5/2/2023,NA,"Forever 46, LLC - 00000057DCHF00477864",https://lims.tagleaf.com/coas/BL0wdEeim47Vh0hZ3Kk0WUL8Fa0guHtI5UghwuFCZjRmN04zHN,https://ilava.com/point-of-intended-sale/,https://ilava.com/extraction-methods/
31648,DTF - Downtown Flower,Kush Mints 3.5g - Signature,1957690,Kush Mints,"Forever 46, LLC - 00000057DCHF00477864",7/27/2022,NA,"Forever 46, LLC - 00000057DCHF00477864",https://lims.tagleaf.com/coas/bsxi4eE1yqi2USKNFGLrqUbMd3b19J07xuD6hdEjSvLr23Pj96,https://ilava.com/point-of-intended-sale/,https://ilava.com/extraction-methods/
42924,High Scorez,High Scorez Sauce Infused Preroll 1.2g - Fatso x Do-Si-Dos,230421.0001-IPR,Fatso x Do-Si-Dos,"Forever 46, LLC - 00000057DCHF00477864",1/3/2023,NA,"Forever 46, LLC - 00000057DCHF00477864",https://lims.tagleaf.com/coas/cW0JkhIdrPonWwNjGfgr3fiRyfkj5mK1XnyJiTxaLQsOB5x0Ji,https://ilava.com/point-of-intended-sale/,https://ilava.com/extraction-methods/
42745,iLAVA,Lumen Sugar Wax 1g - Millionaire Gelato,230523-003,Millionaire Gelato,"Forever 46, LLC - 00000057DCHF00477864",4/19/2023,NA,"Forever 46, LLC - 00000057DCHF00477864",https://lims.tagleaf.com/coas/IM1VDvs9CRUlA5IR8V76O8ntzP7hV873ujmzelDrytU812vmWF,https://ilava.com/point-of-intended-sale/,https://ilava.com/extraction-methods/
48609,iLAVA,Entourage Day Gummies 100mg - Blood Orange,230511-001,Hybrid Blend,"Forever 46, LLC - 00000057DCHF00477864",10/3/2022,NA,"Forever 46, LLC - 00000057DCHF00477864",https://lims.tagleaf.com/coas/NqlC5NIiJnaeD0jvLlZDHxpcUoZGYdbdajVem0doOM8kqDTSom,https://ilava.com/point-of-intended-sale/,https://ilava.com/extraction-methods/
43289,DTF - Downtown Flower,DTF Premium Preroll .5g - Strawberry Mo'nana,SMo-230502.0001-W18,Strawberry Mo'nana,"Forever 46, LLC - 00000057DCHF00477864",5/2/2023,NA,"Forever 46, LLC - 00000057DCHF00477864",https://lims.tagleaf.com/coas/o7oIn6SfR5EcjWRyPf7z0cIS0qeanBvDfrteobAWjl2coCQTkz,https://ilava.com/point-of-intended-sale/,https://ilava.com/extraction-methods/
43281,DTF - Downtown Flower,DTF Premium Preroll 1g - Strawberry Mo'nana,SMo-230502.0001-W18,Strawberry Mo'nana,"Forever 46, LLC - 00000057DCHF00477864",5/2/2023,NA,"Forever 46, LLC - 00000057DCHF00477864",https://lims.tagleaf.com/coas/o7oIn6SfR5EcjWRyPf7z0cIS0qeanBvDfrteobAWjl2coCQTkz,https://ilava.com/point-of-intended-sale/,https://ilava.com/extraction-methods/
44360,iLAVA,iLAVA Entourage Touch Bamboo 3.75oz. - Hybrid,230621-001,Hybrid Blend,"Forever 46, LLC - 00000057DCHF00477864",4/19/2023,NA,"Forever 46, LLC - 00000057DCHF00477864",https://lims.tagleaf.com/coas/uhTjYgLUX1VmcC20hKMvgmAD5AqC9ig9fydJhhhyWb7DoHNBgH,https://ilava.com/point-of-intended-sale/,https://ilava.com/extraction-methods/
54712,DTF - Downtown Flower,DTF Premium Preroll 1g - Cherry Treat,ChryTrt-231003.0001-W40,Cherry Treat,"Forever 46, LLC - 00000057DCHF00477864",10/3/2023,NA,"Forever 46, LLC - 00000057DCHF00477864",https://lims.tagleaf.com/coas/VRDwhcG5jNL8WqkIlOhsuY8jqq5as3GcvkHUUNiAt9K9gvjNqt,https://ilava.com/point-of-intended-sale/,https://ilava.com/extraction-methods/
46703,High Scorez,High Scorez Comboz Infused 4pk Prerolls 2.4g - Guava Cross x Wedding Cake,GuCr-230523.01-W21-4pkIPR,Guava Cross x Wedding Cake,"Forever 46, LLC - 00000057DCHF00477864",5/23/2023,NA,"Forever 46, LLC - 00000057DCHF00477864",https://lims.tagleaf.com/coas/WbcbZ2CBHPTwPtJDfZgdU0h2TVL00ZDwIhdDXdhH5BQnNMwqGd,https://ilava.com/point-of-intended-sale/,https://ilava.com/extraction-methods/
56757,DTF - Downtown Flower,Forest Fire 3.5g - Mid,FoFi-230710.0001-W28,Forest Fire,"Forever 46, LLC - 00000057DCHF00477864",7/10/2023,NA,"Forever 46, LLC - 00000057DCHF00477864",https://lims.tagleaf.com/coas/WdxAkOUQSgktapYPWKjNR2KV0QnvwHQsCRfx9Vr95I00XQQ8IZ,https://ilava.com/point-of-intended-sale/,https://ilava.com/extraction-methods/
53801,DTF - Downtown Flower,Strawberry Mo'nana 3.5g - Signature,SMo-230725.0001-W30,Strawberry Mo'nana,"Forever 46, LLC - 00000057DCHF00477864",7/25/2023,NA,"Forever 46, LLC - 00000057DCHF00477864",https://lims.tagleaf.com/coas/XUjYgKHoaQGWK2ve5C9wbwk9JVU940hhYe4CN91OmmP1C89e8w,https://ilava.com/point-of-intended-sale/,https://ilava.com/extraction-methods/
31905,Roaring 20s,Roaring 20s REST 6 Pack Prerolls 3g - Do-Si-Dos,2053319,Do-Si-Dos,"Forever 46, LLC - 00000057DCHF00477864",6/27/2022,NA,"Forever 46, LLC - 00000057DCHF00477864",https://lims.tagleaf.com/coas/YkpFng5L70UjkARsZG5Z4Fgr5ULKYGpsb6xqRBB6RX3022gdIF,https://ilava.com/point-of-intended-sale/,https://ilava.com/extraction-methods/
41612,iLAVA,iLAVA Lumen Crumble - Tangistan Kush,230517-004,Tangistan Kush,"Forever 46, LLC - 00000057DCHF00477864",4/19/2023,NA,"Forever 46, LLC - 00000057DCHF00477864",https://lims.tagleaf.com/coas/yYh4YsL1HVVAFDgFy4ccxKkgjoWOsyoPFRwEiV5VhPNoDuwnvt,https://ilava.com/point-of-intended-sale/,https://ilava.com/extraction-methods/
54640,DTF - Downtown Flower,Gastropop - Bulk Kief,324s-230918.0003-W38K,Gastropop,"Forever 46, LLC - 00000057DCHF00477864",9/18/2023,NA,"Forever 46, LLC - 00000057DCHF00477864",https://orders.confidentcannabis.com/report/public/pdf/064b8185-05bb-483e-af36-b1552c8b40ce,https://ilava.com/point-of-intended-sale/,https://ilava.com/extraction-methods/
39745,GRÃ„S Cannabis,Blue Dream 3.5g,SKL Blue Dream 06.16.23 GH6 Bay 5,Blue Dream,"Forever 46, LLC - 00000057DCHF00477864",6/16/2023,NA,"Forever 46, LLC - 00000057DCHF00477864",https://orders.confidentcannabis.com/report/public/pdf/46ea5753-b0ce-40f3-bd3a-18ca0018d281,https://ilava.com/point-of-intended-sale/,https://ilava.com/extraction-methods/
54637,iLAVA,iLAVA Touch 2.85oz. (250mg CBD/300mg THC) - Hybrid,240110-001,Hybrid Blend,"Forever 46, LLC - 00000057DCHF00477864",7/25/2023,NA,"Forever 46, LLC - 00000057DCHF00477864",https://orders.confidentcannabis.com/report/public/pdf/564f8e66-6057-4771-907d-8b8da4316e17,https://ilava.com/point-of-intended-sale/,https://ilava.com/extraction-methods/
54633,iLAVA,iLAVA Touch Bamboo 3.75oz. (380mg THC/320mg CBD) - Hybrid,240110-001B,Hybrid Blend,"Forever 46, LLC - 00000057DCHF00477864",7/25/2023,NA,"Forever 46, LLC - 00000057DCHF00477864",https://orders.confidentcannabis.com/report/public/pdf/5fe61f36-b07f-4ac1-9370-6021d1c45ada,https://ilava.com/point-of-intended-sale/,https://ilava.com/extraction-methods/
54631,iLAVA,iLAVA Touch Airless Pump 1.7oz (180mg THC/150mg CBD) - Hybrid,240110-001A,Hybrid Blend,"Forever 46, LLC - 00000057DCHF00477864",7/25/2023,NA,"Forever 46, LLC - 00000057DCHF00477864",https://orders.confidentcannabis.com/report/public/pdf/6023f1b3-d7cb-4c98-8dff-e1b655726c8d,https://ilava.com/point-of-intended-sale/,https://ilava.com/extraction-methods/
54256,DTF - Downtown Flower,Strawberry Mo'nana - Bulk Kief,SMo-231003.0003-W40-SMok,Strawberry Mo'nana,"Forever 46, LLC - 00000057DCHF00477864",10/3/2023,NA,"Forever 46, LLC - 00000057DCHF00477864",https://orders.confidentcannabis.com/report/public/pdf/7279426b-6970-4412-b537-ffcba50018be,https://ilava.com/point-of-intended-sale/,https://ilava.com/extraction-methods/
51866,High Scorez,High Scorez Comboz Infused 4pk Prerolls 2.4g - Fatso x Orange Apricot x Mac,224-230725.01-W30-4pkIPR,Fatso x Orange Apricot x Mac,"Forever 46, LLC - 00000057DCHF00477864",7/25/2023,10/26/2023,"Forever 46, LLC - 00000057DCHF00477864",https://orders.confidentcannabis.com/report/public/pdf/751ab2fc-7868-46eb-b94b-8c7ee56bcd4e,https://ilava.com/point-of-intended-sale/,https://ilava.com/extraction-methods/
52094,GRÃ„S Cannabis,OG Kush 3.5g,SKL OG Kush 04.28.23 GH6 Bay 6,OG Kush,"Forever 46, LLC - 00000057DCHF00477864",4/28/2023,NA,"Forever 46, LLC - 00000057DCHF00477864",https://orders.confidentcannabis.com/report/public/pdf/7eec2e25-2eb7-4a48-be21-e56f3fe36db8,https://ilava.com/point-of-intended-sale/,https://ilava.com/extraction-methods/
44363,iLAVA,iLAVA Touch Bamboo 3.75oz. (380mg THC/320mg CBD) - Hybrid,230621-001B,Hybrid Blend,"Forever 46, LLC - 00000057DCHF00477864",NA,NA,"Forever 46, LLC - 00000057DCHF00477864",https://tinyurl.com/4pr5hcua,https://ilava.com/point-of-intended-sale/,https://ilava.com/extraction-methods/
965691000000,High Scorez,High Scorez Sauce Infused Preroll 1.2g - Gastropop x ICS PROMO,230517.0002-IPR,Gastropop x ICS,"Forever 46, LLC - 00000057DCHF00477864",3/9/2023,NA,"Forever 46, LLC - 00000057DCHF00477864",https://tinyurl.com/bd8sdtzs,https://ilava.com/point-of-intended-sale/,https://ilava.com/extraction-methods/
51577,DTF - Downtown Flower,DTF Premium Preroll 1g - Wedding Cake,WeCa-230717.0001-W29,Wedding Cake,"Forever 46, LLC - 00000057DCHF00477864",7/17/2023,NA,"Forever 46, LLC - 00000057DCHF00477864",https://tinyurl.com/mr29daam,https://ilava.com/point-of-intended-sale/,https://ilava.com/extraction-methods/
463731000000,DTF - Downtown Flower,DTF Premium Preroll 1g - Wedding Cake,WeCa-230717.0001-W29,Wedding Cake,"Forever 46, LLC - 00000057DCHF00477864",7/17/2023,NA,"Forever 46, LLC - 00000057DCHF00477864",https://tinyurl.com/mr29daam,https://ilava.com/point-of-intended-sale/,https://ilava.com/extraction-methods/
25265,Roaring 20s,Roaring 20s REST 6 Pack Prerolls 3g - Zack's Rhino,291C-220913.0001,Zack's Rhino,"Forever 46, LLC - 00000057DCHF00477864",9/13/2022,NA,"Forever 46, LLC - 00000057DCHF00477864",https://orders.confidentcannabis.com/report/public/pdf/91f54137-1fe2-45f1-91bf-5fae2fd76dd3,https://ilava.com/point-of-intended-sale/,https://ilava.com/extraction-methods/
