"Product","Package ID","Batch","Strain","Vendor","Date of manufacture","Brand","Harvest date","Producer"
Strawberry Mo'nana 14g Smalls - Mid,55739,SMo-231130.0001-W48,Strawberry Mo'nana,,,DTF - Downtown Flower,11/30/2023,
Fatso 14g Smalls - Signature,55752,224-231031.0001-W44,Fatso,,,DTF - Downtown Flower,10/31/2023,
Cherry Treat 14g Smalls - Signature,55776,ChryTrt-231130.0001-W48,Cherry Treat,"Forever 46, LLC - 00000057DCHF00477864",2/12/2024,DTF - Downtown Flower,11/30/2023,"Forever 46, LLC - 00000057DCHF00477864"
DTF Premium Preroll 1g - Gello,55775,Gell-231130.0001-W48,Gello,"Forever 46, LLC - 00000057DCHF00477864",2/12/2024,DTF - Downtown Flower,11/30/2023,
Blue Dream 14g Smalls - Signature,55759,BLDR-231130.0001-W48,Blue Dream,"Forever 46, LLC - 00000057DCHF00477864",2/12/2024,DTF - Downtown Flower,11/30/2023,"Forever 46, LLC - 00000057DCHF00477864"
Kosher Kush 14g Smalls - Signature,55753,235-231130.0001-W48,Kosher Kush,"Forever 46, LLC - 00000057DCHF00477864",2/12/2024,DTF - Downtown Flower,11/30/2023,"Forever 46, LLC - 00000057DCHF00477864"
Fatso 14g Smalls - Signature,55752,224-231031.0001-W44,Fatso,"Forever 46, LLC - 00000057DCHF00477864",2/12/2024,DTF - Downtown Flower,10/31/2023,"Forever 46, LLC - 00000057DCHF00477864"
Gastropop 14g Smalls - Signature,55746,324s-231130.0001-W48,Gastropop,"Forever 46, LLC - 00000057DCHF00477864",2/9/2024,DTF - Downtown Flower,11/30/2023,"Forever 46, LLC - 00000057DCHF00477864"
Mellow Squirt 14g Smalls - Mid,55738,MSQ-231116.0001-W46,Mellow Squirt,,,DTF - Downtown Flower,11/16/2023,
DTF Premium Preroll 1g - Mendo Dosi,55582,323s-231116.0001-W46,Mendo Dosi,,,DTF - Downtown Flower,11/16/2023,
DTF Premium Preroll 1g - Cherry Treat,55583,ChryTrt-231116.0001-W46,Cherry Treat,,,DTF - Downtown Flower,11/16/2023,
Gastropop 14g Smalls - Mid,55602,324s-231017.0001-W42,Gastropop,,,DTF - Downtown Flower,10/17/2023,
Gastropop 7g - Mid,55740,324s-231214.0001-W50,Gastropop,"Forever 46, LLC - 00000057DCHF00477864",2/9/2024,DTF - Downtown Flower,12/14/2023,
Strawberry Mo'nana 14g Smalls - Mid,55739,SMo-231130.0001-W48,Strawberry Mo'nana,"Forever 46, LLC - 00000057DCHF00477864",2/9/2024,DTF - Downtown Flower,11/30/2023,"Forever 46, LLC - 00000057DCHF00477864"
Mellow Squirt 14g Smalls - Mid,55738,MSQ-231116.0001-W46,Mellow Squirt,"Forever 46, LLC - 00000057DCHF00477864",2/9/2024,DTF - Downtown Flower,11/16/2023,"Forever 46, LLC - 00000057DCHF00477864"
DTF Premium Preroll 1g - Fresh Fritter,55576,FrFr-231116.0001-W46,Fresh Fritter,,,DTF - Downtown Flower,11/16/2023,
DTF Premium Preroll 1g - Kosher Kush,55577,235-231130.0001-W48,Kosher Kush,,,DTF - Downtown Flower,11/30/2023,
Gastropop 14g Smalls - Mid,55601,324s-230918.0001-W38,Gastropop,,,DTF - Downtown Flower,9/18/2023,
Fatso 3.5g - Signature,55689,224-231116.0001-W46,Fatso,,,DTF - Downtown Flower,11/16/2023,
DTF Premium Preroll 1g - Blue Dream,55579,BLDR-231130.0001-W48,Blue Dream,,,DTF - Downtown Flower,11/30/2023,
Gello 3.5g - Signature,55688,Gell-231130.0001-W48,Gello,,,DTF - Downtown Flower,11/30/2023,
Strawberry Mo'nana 14g Smalls - Mid,55612,SMo-231116.0001-W46,Strawberry Mo'nana,,,DTF - Downtown Flower,11/16/2023,
Mellow Squirt 14g Smalls - Mid,55589,MSQ-231031.0001-W44,Mellow Squirt,,,DTF - Downtown Flower,10/31/2023,
Fresh Fritter 14g Smalls - Mid,55604,FrFr-231130.0001-W48,Fresh Fritter,,,DTF - Downtown Flower,11/30/2023,
Fatso 3.5g - Signature,55689,224-231116.0001-W46,Fatso,"Forever 46, LLC - 00000057DCHF00477864",2/7/2024,DTF - Downtown Flower,11/16/2023,
Gello 3.5g - Signature,55688,Gell-231130.0001-W48,Gello,"Forever 46, LLC - 00000057DCHF00477864",2/7/2024,DTF - Downtown Flower,11/30/2023,
DTF Premium Preroll 1g - Wedding Cake,55574,WeCa-231116.0001-W46,Wedding Cake,,,DTF - Downtown Flower,11/16/2023,
DTF Premium Preroll 1g - Fatso,55046,224-231031.0001-W44,Fatso,,,DTF - Downtown Flower,10/31/2023,
DTF Premium Preroll 1g - Fatso,55046,224-231031.0001-W44,Fatso,"Forever 46, LLC - 00000057DCHF00477864",1/24/2024,DTF - Downtown Flower,10/31/2023,
Gastropop 3.5g - Signature,55546,324s-231130.0001-W48,Gastropop,,,DTF - Downtown Flower,11/30/2023,
Mellow Squirt 3.5g - Signature,55551,MSQ-231031.0001-W44,Mellow Squirt,,,DTF - Downtown Flower,10/31/2023,
Strawberry Mo'nana 14g Smalls - Mid,55612,SMo-231116.0001-W46,Strawberry Mo'nana,"Forever 46, LLC - 00000057DCHF00477864",2/6/2024,DTF - Downtown Flower,11/16/2023,"Forever 46, LLC - 00000057DCHF00477864"
Fresh Fritter 14g Smalls - Mid,55604,FrFr-231130.0001-W48,Fresh Fritter,"Forever 46, LLC - 00000057DCHF00477864",2/6/2024,DTF - Downtown Flower,11/30/2023,"Forever 46, LLC - 00000057DCHF00477864"
Gastropop 14g Smalls - Mid,55602,324s-231017.0001-W42,Gastropop,"Forever 46, LLC - 00000057DCHF00477864",2/6/2024,DTF - Downtown Flower,10/17/2023,"Forever 46, LLC - 00000057DCHF00477864"
Gastropop 14g Smalls - Mid,55601,324s-230918.0001-W38,Gastropop,"Forever 46, LLC - 00000057DCHF00477864",2/6/2024,DTF - Downtown Flower,9/18/2023,"Forever 46, LLC - 00000057DCHF00477864"
Mellow Squirt 14g Smalls - Mid,55589,MSQ-231031.0001-W44,Mellow Squirt,"Forever 46, LLC - 00000057DCHF00477864",2/6/2024,DTF - Downtown Flower,10/31/2023,"Forever 46, LLC - 00000057DCHF00477864"
DTF Premium Preroll 1g - Cherry Treat,55583,ChryTrt-231116.0001-W46,Cherry Treat,"Forever 46, LLC - 00000057DCHF00477864",2/6/2024,DTF - Downtown Flower,11/16/2023,
DTF Premium Preroll 1g - Mendo Dosi,55582,323s-231116.0001-W46,Mendo Dosi,"Forever 46, LLC - 00000057DCHF00477864",2/6/2024,DTF - Downtown Flower,11/16/2023,
DTF Premium Preroll 1g - Blue Dream,55579,BLDR-231130.0001-W48,Blue Dream,"Forever 46, LLC - 00000057DCHF00477864",2/6/2024,DTF - Downtown Flower,11/30/2023,
DTF Premium Preroll 1g - Kosher Kush,55577,235-231130.0001-W48,Kosher Kush,"Forever 46, LLC - 00000057DCHF00477864",2/6/2024,DTF - Downtown Flower,11/30/2023,
