"Product","Package ID","Batch","Strain","Vendor","Date of manufacture","Brand","Harvest date","Producer"
ClearGold Cartridge 1000mg - Watermelon,20223,220321-002CG,Watermelon,"Forever 46, LLC DBA: The Downtown Dispensary - Med (CULT)",5/16/2022,iLAVA,3/20/2022,
ClearGold Cartridge 500mg - Watermelon,20221,220321-002CG,Watermelon,"Forever 46, LLC DBA: The Downtown Dispensary - Med (CULT)",9/4/2022,iLAVA,3/20/2022,
ClearGold Cartridge 1000mg - Bubba Kush,20165,220602-001CG,Bubba Kush,"Forever 46, LLC DBA: The Downtown Dispensary - Med (CULT)",7/4/2022,iLAVA,6/1/2022,
ClearGold Cartridge 500mg - Bubba Kush,20160,220602-001CG,Bubba Kush,"Forever 46, LLC DBA: The Downtown Dispensary - Med (CULT)",7/4/2022,iLAVA,6/1/2022,
ClearGold Cartridge 1000mg - Strawberry Cough,20150,220607-001CG,Strawberry Cough,"Forever 46, LLC DBA: The Downtown Dispensary - Med (CULT)",8/15/2022,iLAVA,6/6/2022,
ClearGold Cartridge 500mg - Strawberry Cough,20148,220607-001CG,Strawberry Cough,"Forever 46, LLC DBA: The Downtown Dispensary - Med (CULT)",8/15/2022,iLAVA,6/6/2022,
zenzona Vegan Gummies 2:1 (100mg THC/50mg CBD) Blueberry - Indica,20112,220519-001-BB,Hybrid Blend,"Forever 46, LLC DBA: The Downtown Dispensary - Med (CULT)",8/30/2022,ZENZONA,5/18/2022,
Origin Fifty One Rosin Cartridge 0.5g - Mint Mango (Sample),20103,CT10000000001,Mint Mango,"46 Wellness, LLC (Yield Scientific - Cultivation) - REC",9/1/2022,Origin 51 [Fifty One],,
Origin Fifty One Rosin Cartridge 0.5g - Alien Grapevine (Sample),20102,CT10000000002,Alien Grapevine,"46 Wellness, LLC (Yield Scientific - Cultivation) - REC",9/1/2022,Origin 51 [Fifty One],,
Lumen Budder 1g - AMF OG,19964,220720-008,AMF OG,"Forever 46, LLC DBA: The Downtown Dispensary - Med (CULT)",9/1/2022,iLAVA,7/19/2022,
ClearGold Cartridge 1000mg - Skywalker OG,19936,220607-001CG,Skywalker OG,"Forever 46, LLC DBA: The Downtown Dispensary - Med (CULT)",9/4/2022,iLAVA,6/6/2022,
ClearGold Cartridge 500mg - Skywalker OG,19933,220607-001CG,Skywalker OG,"Forever 46, LLC DBA: The Downtown Dispensary - Med (CULT)",9/1/2022,iLAVA,6/6/2022,
ClearGold Cartridge 1000mg - Northern Lights,19909,220607-001CG,Northern Lights,"Forever 46, LLC DBA: The Downtown Dispensary - Med (CULT)",9/1/2022,iLAVA,6/6/2022,
ClearGold Cartridge 500mg - Northern Lights,19907,220607-001CG,Northern Lights,"Forever 46, LLC DBA: The Downtown Dispensary - Med (CULT)",9/1/2022,iLAVA,6/6/2022,
zenzona Vegan Gummies 2:1 (200mg CBD/100mg THC) Honeydew - Sativa,19683,220519-001-HD,Hybrid Blend,"Forever 46, LLC DBA: The Downtown Dispensary - Med (CULT)",8/28/2022,ZENZONA,5/18/2022,
ClearGold Cartridge 500mg - Raspberry Kush,19670,220607-001CG,Raspberry Kush,"Forever 46, LLC DBA: The Downtown Dispensary - Med (CULT)",8/31/2022,iLAVA,6/6/2022,
ClearGold Cartridge 1000mg - Raspberry Kush,19669,220607-001CG,Raspberry Kush,"Forever 46, LLC DBA: The Downtown Dispensary - Med (CULT)",8/31/2022,iLAVA,6/6/2022,
Magma Budder 1g - Fam 95,19651,220901-002,Fam 95,,,iLAVA,8/31/2022,
Magma Budder 1g - Fam 95,19650,220901-002,Fam 95,,,iLAVA,8/31/2022,
